Query,Page,Clicks,Impressions,CTR,Position
maine state lottery,,1,5,0.2,31.2
lottery results today,,0,584,0,7.91
lottery numbers for all states,,0,46,0,7.26
lottery usa results,,0,40,0,63
all states lottery results,,0,39,0,8.92
usa lottery results,,0,37,0,55.03
uslotteries,,0,32,0,9
usa lottery results all states,,0,26,0,10.38
all states lottery winning numbers,,0,20,0,6.85
lottery results usa,,0,20,0,52.8
lottery numbers all states,,0,18,0,11.39
all states lottery result,,0,16,0,7.69
lottery for all states,,0,15,0,8.53
all states lottery,,0,15,0,10.73
us lottery results,,0,15,0,54.53
georgia lotto results,,0,14,0,64.71
lottery results all states,,0,13,0,10.38
alabama lottery,,0,12,0,12
il state lottery results,,0,11,0,45.55
ga lottery winning,,0,11,0,66.55
all states lottery numbers,,0,10,0,7.4
winning lottery numbers all states,,0,10,0,20.1
alabama lotto,,0,9,0,12.22
us state lottery results,,0,9,0,52.56
az winning numbers,,0,9,0,55.89
ga lottery result,,0,9,0,60.67
lottery result usa,,0,9,0,66.78
ga lottery results winning numbers,,0,9,0,69
lotto result usa,,0,9,0,74
us state lottery,,0,9,0,76.78
lottery in all states,,0,8,0,9.12
georgia lottery results,,0,8,0,52.62
usa lottery result,,0,8,0,56.5
ga winning numbers,,0,8,0,83
lottery all states,,0,7,0,8.14
lottery massachusetts results,,0,7,0,35.43
usa lotto results,,0,7,0,62.29
georgia lottery winning number results,,0,7,0,63.29
all states lottery results today,,0,6,0,15.67
united states lottery results,,0,6,0,47.67
united state lottery result,,0,6,0,52.33
usa lottery,,0,6,0,70.33
all state lottery result,,0,5,0,6.8
all state lottery,,0,5,0,9.6
al lottery,,0,5,0,16.8
lottery results all 50 states,,0,5,0,35.4
us lotteries results,,0,5,0,43.2
lottery usa result,,0,5,0,66.2
winning arizona lottery numbers,,0,5,0,70.8
united states lottery winning numbers,,0,5,0,71
ga lottery winning numbers results,,0,5,0,81.2
lottery drawing tonight,,0,4,0,6
alabama state lottery,,0,4,0,9.5
lottery results for all states,,0,4,0,22.5
us lottery winning numbers,,0,4,0,57.5
lottery results us,,0,4,0,60
us lottery result,,0,4,0,60
lotto usa results,,0,4,0,61.25
arkansas lottery winning numbers,,0,4,0,62.25
usa lottery results today,,0,4,0,63.75
lottery results,,0,4,0,64.5
winning az lottery numbers,,0,4,0,70
lotto results usa,,0,4,0,75
american lottery winning numbers,,0,4,0,81.25
delaware lottery results,,0,3,0,22.67
results lottery massachusetts,,0,3,0,26.67
conn lottery results,,0,3,0,39.67
georgia lottery result,,0,3,0,39.67
lottery georgia results,,0,3,0,56.33
results lottery georgia,,0,3,0,58.67
united state lottery results,,0,3,0,60.33
usa state lottery,,0,3,0,63.67
georgia lotto numbers,,0,3,0,65
az lottery winning numbers,,0,3,0,65.67
galottery winning numbers,,0,3,0,65.67
arkansas lottery results today,,0,3,0,66
georgia lottery today,,0,3,0,67.67
daily numbers evening results massachusetts tonight,,0,3,0,69
lottery ga results,,0,3,0,69
www.ga lottery winning numbers,,0,3,0,69.33
lottery winning numbers usa,,0,3,0,72.67
winning lottery numbers by state,,0,3,0,72.67
tiraj georgia,,0,3,0,78.67
mega millions alabama,,0,2,0,6
al lottery results,,0,2,0,8
lottery numbers from last night,,0,2,0,8
lottery draw,,0,2,0,9
lotto last night,,0,2,0,9
lottery for all 50 states,,0,2,0,9.5
lottery tonight,,0,2,0,10
delaware lottery numbers,,0,2,0,25.5
racetrack winning numbers,,0,2,0,28
usa today lottery results,,0,2,0,29.5
idaho lottery numbers,,0,2,0,36.5
ma lottery results today,,0,2,0,39.5
ct lottery numbers for today,,0,2,0,40
lottery mass results,,0,2,0,40.5
mass lottery results,,0,2,0,41
lotto delaware,,0,2,0,41.5
maine lottery,,0,2,0,42
idaho powerball numbers,,0,2,0,43
georgia lottery results today,,0,2,0,44
lottery maine,,0,2,0,44.5
lottery results by state,,0,2,0,46.5
florida lottery winning numbers florida lottery winning numbers,,0,2,0,47
fla lottery com winning numbers,,0,2,0,50.5
idaho lottery winning numbers,,0,2,0,50.5
conn lottery results today,,0,2,0,51.5
lottery results ga,,0,2,0,51.5
galotto winning numbers,,0,2,0,52.5
idaho lottery results,,0,2,0,53
resultado de la lotería de connecticut,,0,2,0,53
lottery numbers by state,,0,2,0,54
florida winning lottery numbers today,,0,2,0,54.5
illinois state lottery results com,,0,2,0,56.5
results of the illinois state lottery,,0,2,0,59.5
georgia lotto result,,0,2,0,60
past winning numbers california lottery,,0,2,0,60.5
massachusetts evening lottery results today pick 3,,0,2,0,61
all states lotto results,,0,2,0,61.5
resultat georgia,,0,2,0,61.5
all states winning lottery numbers,,0,2,0,62.5
today's florida winning lottery numbers,,0,2,0,62.5
usa lottery usa,,0,2,0,63.5
az winning lottery numbers,,0,2,0,66.5
america lottery result,,0,2,0,69.5
www.georgia lottery winning numbers,,0,2,0,70
california state lottery results,,0,2,0,70.5
idaho lotto results,,0,2,0,70.5
lottery usa ga,,0,2,0,71
american lottery results,,0,2,0,75
georgia lotto winning number,,0,2,0,75.5
florida lottery results for yesterday,,0,2,0,76
all states lotto,,0,2,0,78.5
ga. lottery results,,0,2,0,79.5
lottery georgia soir,,0,2,0,80
california lottery winning numbers,,0,2,0,83
ga lottery winning numbers,,0,2,0,83
new york mega millions past winning numbers,,0,2,0,83
arizona lottery results,,0,2,0,84.5
california winning lottery numbers,,0,2,0,85
ga lottery results,,0,2,0,86
ga lottery drawings,,0,2,0,89.5
lottery by state,,0,2,0,91.5
lottery all 50 states,,0,1,0,4
last 10 lotto results,,0,1,0,5
today's lottery number,,0,1,0,5
the lottery winning number,,0,1,0,6
saturday lotto winning numbers,,0,1,0,7
'lottery results tonight' trending why is it trending,,0,1,0,8
usa lottery winning numbers,,0,1,0,8
who won the pick,,0,1,0,8
alabama lottery numbers,,0,1,0,9
state lottery results,,0,1,0,9
tuesday's lottery,,0,1,0,9
yesterday lottery numbers,,0,1,0,9
all state lottery results,,0,1,0,10
lottery numbers for today,,0,1,0,10
lotteryresults,,0,1,0,10
search winning lottery numbers,,0,1,0,10
what is today's lottery numbers,,0,1,0,10
are there any lottery drawings tonight,,0,1,0,11
loteria alabama,,0,1,0,11
lottery numbers for yesterday,,0,1,0,11
lotto results tonight trending,,0,1,0,11
trending 'lottery results tonight' why trending,,0,1,0,11
alabama lottery pick 3,,0,1,0,14
massachusetts winning numbers,,0,1,0,19
alabama lottery results pick 4,,0,1,0,20
ma. lottery results,,0,1,0,21
delaware lotto,,0,1,0,25
illinois state lottery results mega millions,,0,1,0,27
alabama lottery results,,0,1,0,28
delottery winning numbers,,0,1,0,28
lottery results in ma,,0,1,0,28
massachusetts lottery results,,0,1,0,28
evening lottery results today near massachusetts,,0,1,0,33
mass lottery results and winning numbers,,0,1,0,33
powerball alabama,,0,1,0,36
maine lottery results,,0,1,0,37
delottery results,,0,1,0,38
idaho powerball results tonight,,0,1,0,38
delaware numbers,,0,1,0,39
lottery usa ma,,0,1,0,39
ma lottery results,,0,1,0,39
mass winning lottery numbers,,0,1,0,39
tiraj massachusetts,,0,1,0,41
arizona lotto results,,0,1,0,42
connecticut lottery results winning numbers,,0,1,0,42
lottery results in illinois,,0,1,0,42
idaho powerball lottery winning numbers,,0,1,0,43
is there lottery in alabama,,0,1,0,43
lottery in maine,,0,1,0,43
arizona winning lottery numbers,,0,1,0,44
connecticut numbers,,0,1,0,44
florida lotto from last night,,0,1,0,44
pick 4 maine winning numbers,,0,1,0,44
résultats lottery florida,,0,1,0,44
u s lottery results,,0,1,0,44
lottery results idaho,,0,1,0,45
lottery usa georgia,,0,1,0,45
mississippi cash 3 evening winning numbers,,0,1,0,45
tirage connecticut,,0,1,0,45
connecticut lottery results,,0,1,0,46
mississippi cash 3 evening winning numbers for tonight,,0,1,0,46
what florida lottery plays tonight,,0,1,0,46
loteria de arizona resultados,,0,1,0,47
previous result,,0,1,0,47
georgia lottery night results,,0,1,0,48
lottery georgia result,,0,1,0,48
ma lottery results winning numbers,,0,1,0,48
powerball maine winners,,0,1,0,48
lottery georgia winning numbers,,0,1,0,49
lottery results illinois,,0,1,0,49
winning lotto numbers arizona,,0,1,0,49
florida lottery winning numbers from last night,,0,1,0,50
lottery results illinois lottery results,,0,1,0,50
georgia lottery numbers,,0,1,0,51
lottery illinois results,,0,1,0,51
connecticut daily lottery number,,0,1,0,52
state of illinois lottery results,,0,1,0,52
winning lottery numbers idaho,,0,1,0,52
www florida lottery com results,,0,1,0,52
illinois lottery winning numbers for last night,,0,1,0,53
results of illinois lottery,,0,1,0,54
california winning lotto numbers,,0,1,0,55
résultat lottery florida aujourd'hui,,0,1,0,55
tiraj georgia 7h,,0,1,0,56
u s a lottery results,,0,1,0,56
georgia state lottery results,,0,1,0,57
lottery result georgia,,0,1,0,57
take 5 midday and evening,,0,1,0,57
all lotto usa,,0,1,0,58
georgia lottery numbers from last night,,0,1,0,58
georgia lottery yesterday,,0,1,0,58
georgia state lottery numbers,,0,1,0,58
illinois lottery numbers from yesterday,,0,1,0,58
new mexico lottery pick 3 evening,,0,1,0,58
resultado georgia,,0,1,0,58
resultat borlette georgia,,0,1,0,58
usa lottery today,,0,1,0,58
