target_page,page_type,state_slug,state_name,game_name,page_importance_score,keyword_count,avg_priority_score,best_keyword_score,opportunity_tier_mix,backlink_priority_tier,backlinks_value_score,can_rank_fastest,content_readiness,content_issues,anchor_mix_rule
/games/mega-millions,national,,,Mega Millions,100,5,78.86,78.86,HIGH:5 | MEDIUM:0 | LOW:0,Tier 1,84.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/games/powerball,national,,,Powerball,100,5,78.86,78.86,HIGH:5 | MEDIUM:0 | LOW:0,Tier 1,84.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/ca/mega-millions,game_family,ca,California,Mega Millions,92,6,76.67,76.67,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.8,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/ca/powerball,game_family,ca,California,Powerball,92,6,76.67,76.67,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.8,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/tx/mega-millions,game_family,tx,Texas,Mega Millions,92,6,76.67,76.67,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.8,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/tx/powerball,game_family,tx,Texas,Powerball,92,6,76.67,76.67,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.8,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/fl/mega-millions,game_family,fl,Florida,Mega Millions,91,6,76.27,76.27,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.1,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/fl/powerball,game_family,fl,Florida,Powerball,91,6,76.27,76.27,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.1,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/fl/powerball-double-play,game_family,fl,Florida,Powerball Double Play,91,6,76.27,76.27,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.1,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/ny/mega-millions,game_family,ny,New York,Mega Millions,91,6,76.27,76.27,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.1,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/ny/powerball,game_family,ny,New York,Powerball,91,6,76.27,76.27,HIGH:6 | MEDIUM:0 | LOW:0,Tier 1,75.1,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/nj/mega-millions,game_family,nj,New Jersey,Mega Millions,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/nj/powerball,game_family,nj,New Jersey,Powerball,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/nj/powerball-double-play,game_family,nj,New Jersey,Powerball Double Play,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/pa/mega-millions,game_family,pa,Pennsylvania,Mega Millions,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/pa/powerball,game_family,pa,Pennsylvania,Powerball,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/pa/powerball-double-play,game_family,pa,Pennsylvania,Powerball Double Play,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
/states/pr/powerball,game_family,pr,Puerto Rico,Powerball,90,6,75.86,75.86,HIGH:6 | MEDIUM:0 | LOW:0,Tier 2,74.4,NO,READY,none_detected,20% exact | 40% partial | 20% branded | 10% URL | 10% generic
