keyword,target_page,page_type,state_slug,state_name,game_family_slug,game_name,session_slug,primary_intent,backlink_intent,page_importance_score,intent_match_score,competition_tier,competition_score,ranking_opportunity_score,backlink_value_score,priority_score,opportunity_tier,backlink_priority_tier,monthly_searches,difficulty,cpc,metrics_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,ranking_signal,needs_data_fields
mega millions numbers,/games/mega-millions,national,,,mega-millions,Mega Millions,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,500000,needs data,0.05-0.48 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions past results,/games/mega-millions,national,,,mega-millions,Mega Millions,,historical,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
mega millions results,/games/mega-millions,national,,,mega-millions,Mega Millions,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,50000,needs data,0.13-0.22 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
mega millions results today,/games/mega-millions,national,,,mega-millions,Mega Millions,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
mega millions winning numbers,/games/mega-millions,national,,,mega-millions,Mega Millions,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,500000,needs data,0.14-0.50 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball numbers,/games/powerball,national,,,powerball,Powerball,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,5000000,needs data,0.06-0.33 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball past results,/games/powerball,national,,,powerball,Powerball,,historical,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball results,/games/powerball,national,,,powerball,Powerball,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,500000,needs data,0.13-0.37 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
powerball results today,/games/powerball,national,,,powerball,Powerball,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
powerball winning numbers,/games/powerball,national,,,powerball,Powerball,,navigational,commercial/backlink target,100,92,HIGH,52,50,84.4,78.86,HIGH,Tier 1,5000000,needs data,0.09-0.40 USD,keyword-planner.csv|keyword-planner.csv,needs data,needs data,needs data,needs data,needs Search Console data,difficulty|search_console
california mega millions past results,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,historical,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california mega millions results,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
california mega millions winning numbers,/states/ca/mega-millions,game_family,ca,California,mega-millions,Mega Millions,,informational,commercial/backlink target,92,92,MEDIUM,62,50,75.8,76.67,HIGH,Tier 1,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs data,needs Search Console data,monthly_searches|difficulty|cpc|search_console
